,Rules
0,"IF Glucose = <166.5, 172.5) THEN label = {1}"
1,"IF Glucose = <166.5, inf) AND SkinThickness = <32.5, inf) AND Insulin = (-inf, 661.5) THEN label = {1}"
2,"IF DiabetesPedigreeFunction = <0.31, 1.16) AND Glucose = <166.5, inf) AND BMI = <29.1, inf) THEN label = {1}"
3,"IF DiabetesPedigreeFunction = (-inf, 1.16) AND Glucose = <166.5, inf) AND Pregnancies = (-inf, 9.5) AND BMI = <34.25, inf) THEN label = {1}"
4,"IF BloodPressure = (-inf, 93.0) AND Glucose = <166.5, inf) AND SkinThickness = <16.5, inf) AND Insulin = (-inf, 661.5) AND Age = (-inf, 66.5) AND BMI = <23.1, 45.5) THEN label = {1}"
5,"IF DiabetesPedigreeFunction = (-inf, 1.43) AND Glucose = <159.5, inf) AND BMI = <35.3, 46.1) THEN label = {1}"
6,"IF DiabetesPedigreeFunction = <0.21, 1.43) AND Glucose = <159.5, inf) AND SkinThickness = (-inf, 42.5) AND BMI = <29.1, 46.1) THEN label = {1}"
7,"IF DiabetesPedigreeFunction = (-inf, 0.61) AND Glucose = <159.5, 179.0) AND SkinThickness = (-inf, 42.5) AND Insulin = (-inf, 629.5) AND Age = (-inf, 53.5) AND BMI = <23.1, inf) THEN label = {1}"
8,"IF DiabetesPedigreeFunction = <0.21, 1.43) AND BloodPressure = <69.0, inf) AND Glucose = <157.5, inf) AND SkinThickness = (-inf, 42.5) AND BMI = <29.85, 46.1) THEN label = {1}"
9,"IF BloodPressure = (-inf, 92.0) AND DiabetesPedigreeFunction = <0.34, inf) AND Glucose = <154.5, inf) AND Insulin = (-inf, 544.0) AND Age = (-inf, 57.5) AND BMI = <29.85, inf) THEN label = {1}"
10,"IF DiabetesPedigreeFunction = <0.21, 0.61) AND Glucose = <153.5, inf) AND SkinThickness = <16.5, 40.0) AND Age = <23.5, 59.5) THEN label = {1}"
11,"IF DiabetesPedigreeFunction = <0.3, 1.16) AND BloodPressure = <63.0, inf) AND Glucose = <150.5, inf) AND Insulin = (-inf, 481.5) AND BMI = <33.65, inf) THEN label = {1}"
12,"IF DiabetesPedigreeFunction = <0.34, inf) AND BloodPressure = <67.0, inf) AND Glucose = <147.5, inf) AND SkinThickness = <26.5, inf) AND Age = <39.5, inf) AND BMI = (-inf, 45.3) THEN label = {1}"
13,"IF DiabetesPedigreeFunction = <0.26, 1.43) AND Glucose = <144.5, inf) AND SkinThickness = (-inf, 50.0) AND Insulin = (-inf, 48.75) AND BMI = <29.95, inf) THEN label = {1}"
14,"IF BloodPressure = (-inf, 93.5) AND Glucose = <144.5, inf) AND SkinThickness = <16.5, inf) AND Insulin = (-inf, 335.0) AND Age = <28.5, inf) AND Pregnancies = <2.5, 9.5) AND BMI = <29.4, inf) THEN label = {1}"
15,"IF DiabetesPedigreeFunction = <0.33, 0.58) AND BloodPressure = <57.0, inf) AND Glucose = <143.5, 146.5) THEN label = {1}"
16,"IF Insulin = (-inf, 230.0) AND BMI = <48.1, inf) THEN label = {1}"
17,"IF BloodPressure = <65.0, 108.0) AND DiabetesPedigreeFunction = (-inf, 0.84) AND Glucose = <141.5, inf) AND SkinThickness = <16.5, 34.5) AND Age = (-inf, 59.0) AND BMI = <27.45, 44.75) THEN label = {1}"
18,"IF DiabetesPedigreeFunction = <0.2, 1.16) AND Glucose = <139.5, inf) AND SkinThickness = <16.5, 51.5) AND Insulin = (-inf, 542.5) AND Age = <23.5, inf) AND BMI = <29.95, 45.9) THEN label = {1}"
19,"IF DiabetesPedigreeFunction = <0.34, 1.42) AND BloodPressure = <48.0, 107.0) AND Glucose = <137.5, inf) AND SkinThickness = (-inf, 51.0) AND Insulin = (-inf, 289.0) AND Pregnancies = (-inf, 12.5) AND Age = (-inf, 59.5) AND BMI = <25.45, 45.9) THEN label = {1}"
20,"IF Glucose = <133.5, 137.5) AND Age = <28.5, inf) AND BMI = <32.15, inf) THEN label = {1}"
21,"IF DiabetesPedigreeFunction = <0.26, 1.42) AND BloodPressure = <64.5, 89.0) AND Glucose = <133.5, inf) AND SkinThickness = <16.0, 42.5) AND Insulin = (-inf, 289.0) AND Age = <21.5, 63.5) AND Pregnancies = (-inf, 12.5) AND BMI = <23.15, 45.9) THEN label = {1}"
22,"IF DiabetesPedigreeFunction = <0.22, 1.16) AND BloodPressure = <69.0, inf) AND Glucose = <130.5, inf) AND SkinThickness = <16.5, 38.0) AND Insulin = (-inf, 193.0) AND Age = <24.5, 68.0) AND Pregnancies = (-inf, 10.5) AND BMI = <31.45, inf) THEN label = {1}"
23,"IF DiabetesPedigreeFunction = <0.19, inf) AND Glucose = <129.5, 132.5) AND Age = <21.5, inf) AND BMI = <28.15, inf) THEN label = {1}"
24,"IF DiabetesPedigreeFunction = <0.31, 1.07) AND Glucose = <127.5, inf) AND Insulin = (-inf, 329.0) AND Age = <30.5, inf) AND BMI = <33.65, inf) THEN label = {1}"
25,"IF DiabetesPedigreeFunction = <0.39, inf) AND Glucose = <127.5, inf) AND Insulin = <44.25, 202.5) AND Pregnancies = (-inf, 4.5) AND BMI = <29.95, inf) THEN label = {1}"
26,"IF Glucose = <124.5, inf) AND SkinThickness = <22.5, inf) AND Age = <24.5, inf) AND BMI = <30.05, inf) THEN label = {1}"
27,"IF DiabetesPedigreeFunction = <0.31, inf) AND BloodPressure = <57.0, inf) AND Glucose = <123.5, 153.0) AND SkinThickness = (-inf, 39.5) AND Insulin = <26.25, inf) AND Age = <28.5, 60.5) AND Pregnancies = <0.5, 10.5) AND BMI = <27.55, 34.7) THEN label = {1}"
28,"IF BloodPressure = <79.0, 87.0) AND BMI = <45.35, inf) THEN label = {1}"
29,"IF DiabetesPedigreeFunction = <0.21, 0.68) AND Glucose = <122.5, 135.0) AND SkinThickness = (-inf, 37.5) AND Insulin = <25.5, 117.5) AND Age = <27.5, 54.5) AND Pregnancies = (-inf, 9.5) AND BMI = (-inf, 37.05) THEN label = {1}"
30,"IF BloodPressure = (-inf, 83.0) AND Glucose = <119.5, 124.5) AND SkinThickness = <20.5, 40.5) AND Insulin = (-inf, 226.5) AND Age = <29.5, inf) AND BMI = <29.95, 42.6) THEN label = {1}"
31,"IF Glucose = <118.5, 121.5) AND SkinThickness = <21.5, 35.5) AND Age = (-inf, 33.5) AND BMI = <27.05, 36.65) THEN label = {1}"
32,"IF DiabetesPedigreeFunction = <0.34, 1.43) AND BloodPressure = <61.0, inf) AND Glucose = <116.5, inf) AND SkinThickness = <11.5, 41.5) AND Insulin = (-inf, 289.0) AND Age = (-inf, 68.0) AND Pregnancies = <0.5, inf) AND BMI = <29.65, 44.25) THEN label = {1}"
33,"IF Glucose = <114.5, 116.5) AND Age = <29.5, inf) AND BMI = <29.95, inf) THEN label = {1}"
34,"IF DiabetesPedigreeFunction = <0.2, inf) AND Glucose = <112.5, 115.5) AND SkinThickness = <22.5, inf) AND Insulin = (-inf, 148.0) AND Age = (-inf, 62.5) AND BMI = <27.35, inf) THEN label = {1}"
35,"IF Glucose = (-inf, 122.0) AND Insulin = <112.0, inf) AND Pregnancies = <7.5, inf) AND Age = (-inf, 61.5) THEN label = {1}"
36,"IF DiabetesPedigreeFunction = <0.77, inf) AND Pregnancies = <6.5, 12.5) AND BMI = <27.35, inf) THEN label = {1}"
37,"IF DiabetesPedigreeFunction = <0.21, inf) AND BloodPressure = <53.0, inf) AND Glucose = <102.5, 121.0) AND Pregnancies = <6.5, inf) AND Age = <26.5, 51.0) AND BMI = <27.85, inf) THEN label = {1}"
38,"IF BloodPressure = <53.0, 82.0) AND Glucose = <83.5, 121.0) AND Pregnancies = <6.5, inf) AND Age = <26.5, 46.5) AND BMI = <26.3, 33.1) THEN label = {1}"
39,"IF DiabetesPedigreeFunction = <0.26, inf) AND BloodPressure = (-inf, 89.0) AND Glucose = <108.5, 113.5) AND SkinThickness = <22.5, inf) AND Age = (-inf, 58.0) AND BMI = <32.45, inf) THEN label = {1}"
40,"IF BloodPressure = <59.0, inf) AND Glucose = <94.5, 104.5) AND SkinThickness = <19.5, 38.0) AND Insulin = (-inf, 190.5) AND Age = <30.5, 53.5) AND Pregnancies = (-inf, 7.5) AND BMI = <29.85, inf) THEN label = {1}"
41,"IF DiabetesPedigreeFunction = <0.26, inf) AND BloodPressure = <73.0, 89.0) AND Glucose = <84.5, inf) AND SkinThickness = <17.0, inf) AND Insulin = <26.25, 192.5) AND Age = <28.5, 62.5) AND Pregnancies = (-inf, 9.5) AND BMI = <26.95, 34.6) THEN label = {1}"
42,"IF DiabetesPedigreeFunction = <0.51, inf) AND BloodPressure = <54.0, 87.0) AND Glucose = <79.0, 148.0) AND SkinThickness = <19.0, inf) AND Insulin = (-inf, 167.5) AND Age = <21.5, 40.5) AND BMI = <32.6, 38.6) THEN label = {1}"
43,"IF DiabetesPedigreeFunction = <0.2, 1.4) AND BloodPressure = <49.0, inf) AND Glucose = <77.5, inf) AND SkinThickness = <12.5, inf) AND Insulin = <29.75, inf) AND Age = <22.5, 54.5) AND BMI = <22.8, inf) THEN label = {1}"
44,"IF BMI = (-inf, 22.8) THEN label = {0}"
